Model,threshold,Number of Clusters,energy,energy_diff
SC,40,3,-89.412160098975,0.004731612635012539
SC,40,3,-89.415872965429,0.0023945817870014707
SC,40,2,-89.401551692431,0.010908386650996249
SC,40,3,-89.404862541917,0.006277174369003546
SC,40,2,-89.38769531297399,0.02398928338701012
SC,40,3,-89.412165706129,0.004234028314996863
SC,65,15,-125.918974485013,0.007494519198004923
SC,45,15,-125.91783661580001,0.0015255146370094508
SC,40,14,-125.909659847308,0.0089168203359975
SC,40,14,-125.89260672746099,0.019000297002008892
SC,45,15,-125.91816917771602,0.0053515147530305285
SC,40,15,-97.159699657243,0.004364597660000413
SC,40,12,-97.179328216635,0.006202501500993662
SC,40,15,-97.15729760224299,0.0028465269149933192
SC,40,15,-97.16074197193201,0.00039009954899427157
SC,40,5,-97.141790381081,0.009470002135998357
SC,45,9,-97.166199122804,0.00619138408299591
SC,45,13,-129.07467947401702,0.0065171879380159226
SC,40,13,-129.07512963327503,0.006831214368020255
SC,45,13,-129.06913266938602,0.008552378267012273
SC,55,14,-129.052791728154,0.0015469666659839731
SC,40,13,-129.06175485376,0.008078602253988265
SC,40,2,-129.039874234443,0.009559658469981969
SC,45,14,-124.67833817883499,0.009559402935011008
SC,40,2,-124.678882400569,0.009644464906003236
SC,40,2,-124.6517740169,0.03101568907099761
SC,40,2,-124.672847815951,0.009521712390991866
SC,60,15,-143.86564715332702,0.0094850786499876
SC,40,15,-143.859697237543,0.009599076580002475
SC,50,10,-189.550555817121,0.005121395686984442
SC,50,10,-189.547898801008,0.003234954331986728
SC,40,2,-133.376158745123,0.004596722168997758
SC,40,5,-148.02951500614802,0.006753342593981415
SC,70,15,-150.11350894835996,0.003947920628974089
SC,45,15,-150.11486192671097,0.006570000793971076
SC,40,15,-150.114102958565,0.007902983537007913
SC,80,13,-150.09128447145702,0.006730692218980039
SC,70,15,-150.10188284165804,0.0038420499240316985
SC,40,8,-144.53241863448403,0.04582901551796681
SC,40,8,-144.534685645772,0.0406524034710003
SC,40,10,-144.577753234661,0.01375699371399719
SC,40,13,-144.55360983595298,0.012493789980027259
SC,40,8,-144.51695407245202,0.05825126729197905
SC,40,10,-144.57070606094,0.012003638810000439
SC,40,11,-157.36646361193297,0.011991743239036623
SC,40,10,-157.361822339319,0.018168615035023095
SC,40,11,-157.37554458627804,0.010522105901031864
SC,40,14,-157.368307578587,0.014205756473984366
SC,40,11,-157.393744411445,0.016628376714010074
SC,40,11,-157.367698825159,0.010481044161991804
SC,55,12,-96.95691333089101,0.000748774941015995
SC,40,2,-96.93310417349,0.017641443961011305
SC,40,4,-96.928297021388,0.013738279305997025
SC,40,12,-96.936559859863,0.0157296577410051
SC,40,7,-96.923042024201,0.015814033788998927
SC,60,13,-96.94245769170799,0.007517633603015383
SC,45,7,-178.013028788089,0.005031886215988379
SC,40,5,-134.401141350713,0.08569631626599516
SC,50,7,-134.490546764355,0.00633401639001363
SC,50,7,-134.473928271236,0.0032974097620126486
SC,50,7,-134.474578901965,0.0029975559089905346
SC,40,5,-130.73739768639,0.025467296898995073
SC,40,6,-130.75998775691698,0.0025676493049786586
SC,40,5,-130.746352739141,0.004949008490996221
SC,40,6,-130.749077343729,0.0001740314000073795
SC,40,5,-130.744978001097,0.005821495633995255
SC,40,4,-130.786737578849,0.04525005086298961
SC,40,3,-130.812956057844,0.013674975821999169
SC,40,2,-130.798482993096,0.030087482708012203
SC,40,3,-130.815125096999,0.010994171428990285
SC,40,3,-130.809780175458,0.007645282514005203
SC,40,4,-131.793069721414,0.007231340199979286
SC,40,4,-131.789222967766,0.00862882711200541
SC,40,6,-131.78381536178802,0.009145465665994834
SC,40,5,-131.80576992445998,0.009658856771977753
SC,40,4,-131.794832247438,0.0015865906519820783
SC,40,4,-139.50658886392398,0.0319933693570249
